Date,User_ID,Session_Duration,Page_Views,Source,Medium,Campaign,Device_Category,Country,New_User,Conversions,Revenue
6/24/2023,30,408,1,Direct,Direct,Winter Campaign,Tablet,France,1,1,99
6/7/2023,31,244,9,Referral,Direct,,Desktop,UK,1,3,378
6/15/2023,32,418,8,Social,Referral,Spring Promo,Tablet,USA,1,3,339
6/21/2023,33,493,8,Direct,Referral,Spring Promo,Desktop,India,0,2,146
6/9/2023,34,460,6,Referral,Referral,Spring Promo,Desktop,Australia,0,0,0
6/9/2023,35,82,10,Organic,Organic Search,Winter Campaign,Desktop,Canada,0,0,0
6/25/2023,36,429,1,Social,Social Media,Winter Campaign,Mobile,USA,1,3,432
6/25/2023,37,421,8,Organic,Social Media,,Mobile,Germany,1,1,140
6/5/2023,38,518,7,Social,Social Media,Summer Sale,Mobile,Canada,0,1,141
6/27/2023,39,494,8,Direct,Organic Search,,Desktop,Germany,1,0,0
6/5/2023,40,255,5,Referral,Organic Search,Spring Promo,Tablet,UK,0,0,0
6/29/2023,41,141,9,Referral,Social Media,,Mobile,India,1,1,130
6/1/2023,42,535,2,Direct,Organic Search,Spring Promo,Desktop,Australia,0,1,86
6/1/2023,43,402,3,Organic,Direct,Spring Promo,Desktop,UK,1,2,128
6/2/2023,44,251,5,Referral,Direct,Summer Sale,Tablet,Canada,0,1,64
6/16/2023,45,318,9,Direct,Direct,Winter Campaign,Desktop,Canada,0,1,77
6/24/2023,46,302,10,Social,Social Media,,Desktop,UK,0,2,284
6/16/2023,47,131,9,Organic,Referral,Winter Campaign,Desktop,France,1,0,0
6/21/2023,48,288,6,Organic,Referral,Spring Promo,Tablet,UK,0,3,267
6/16/2023,49,142,6,Organic,Organic Search,,Mobile,France,0,2,132
6/3/2023,50,322,1,Referral,Direct,Summer Sale,Desktop,Canada,0,0,0
6/6/2023,51,549,6,Social,Social Media,Summer Sale,Mobile,Canada,1,1,88
6/2/2023,52,109,6,Referral,Direct,Summer Sale,Mobile,Australia,0,3,336
6/20/2023,53,397,8,Direct,Direct,Summer Sale,Mobile,India,1,1,86
6/24/2023,54,568,6,Social,Direct,Summer Sale,Desktop,France,1,2,230
6/18/2023,55,326,9,Social,Organic Search,Winter Campaign,Mobile,USA,0,1,117
6/10/2023,56,531,4,Organic,Organic Search,Spring Promo,Mobile,Australia,1,3,396
6/16/2023,57,140,5,Social,Direct,Summer Sale,Desktop,USA,0,3,342
6/24/2023,58,474,5,Social,Social Media,Spring Promo,Mobile,USA,0,2,104
6/29/2023,59,272,5,Organic,Social Media,Winter Campaign,Desktop,Canada,1,3,234
6/5/2023,60,160,3,Social,Direct,Spring Promo,Mobile,UK,1,1,126
6/4/2023,61,94,4,Referral,Social Media,Winter Campaign,Tablet,Australia,0,2,150
6/16/2023,62,466,10,Direct,Referral,Summer Sale,Desktop,USA,0,0,0
6/14/2023,63,530,9,Social,Direct,,Desktop,Germany,0,0,0
6/27/2023,64,134,1,Organic,Direct,Summer Sale,Mobile,France,1,1,115
6/28/2023,65,108,2,Social,Referral,,Tablet,Australia,1,2,240
6/26/2023,66,137,4,Direct,Social Media,Winter Campaign,Desktop,UK,1,0,0
6/15/2023,67,501,7,Organic,Referral,Winter Campaign,Mobile,Germany,1,3,417
6/22/2023,68,416,5,Referral,Social Media,Spring Promo,Mobile,UK,0,3,366
6/25/2023,69,395,10,Social,Direct,Winter Campaign,Desktop,France,0,3,354
6/9/2023,70,588,6,Social,Referral,Spring Promo,Tablet,India,0,3,204
6/29/2023,71,457,9,Direct,Social Media,Spring Promo,Desktop,UK,0,3,213
6/27/2023,72,583,4,Organic,Social Media,Spring Promo,Desktop,Germany,0,0,0
6/14/2023,73,288,8,Social,Social Media,Spring Promo,Mobile,Germany,1,0,0
6/1/2023,74,546,6,Social,Referral,Winter Campaign,Mobile,France,0,3,411
6/30/2023,75,535,9,Referral,Direct,Winter Campaign,Mobile,India,0,2,170
6/30/2023,76,77,10,Referral,Referral,Winter Campaign,Mobile,Australia,0,3,396
6/3/2023,77,209,9,Social,Referral,Summer Sale,Mobile,France,1,2,212
6/7/2023,78,177,7,Direct,Direct,Winter Campaign,Desktop,UK,0,3,438
6/20/2023,79,257,3,Direct,Organic Search,Winter Campaign,Desktop,Australia,0,3,270
6/1/2023,80,179,6,Direct,Social Media,Winter Campaign,Tablet,Germany,1,2,152
6/28/2023,81,334,3,Referral,Direct,,Mobile,Germany,1,2,160
6/7/2023,82,503,5,Organic,Social Media,Winter Campaign,Mobile,USA,1,2,276
6/24/2023,83,388,1,Organic,Referral,Summer Sale,Mobile,USA,1,2,154
6/9/2023,84,517,6,Referral,Social Media,,Mobile,Australia,0,0,0
6/17/2023,85,389,10,Direct,Direct,Summer Sale,Mobile,France,1,0,0
6/25/2023,86,296,8,Organic,Referral,Winter Campaign,Desktop,UK,0,1,87
6/27/2023,87,435,7,Referral,Social Media,,Desktop,UK,1,3,393
6/11/2023,88,152,7,Social,Social Media,,Desktop,USA,1,1,85
6/8/2023,89,144,4,Referral,Organic Search,Summer Sale,Mobile,Australia,0,0,0
6/6/2023,90,252,5,Referral,Direct,Summer Sale,Tablet,Australia,1,1,82
6/16/2023,91,554,8,Social,Direct,Summer Sale,Desktop,France,0,0,0
6/29/2023,92,516,7,Organic,Social Media,,Desktop,Germany,1,2,188
6/4/2023,93,600,7,Organic,Direct,Spring Promo,Mobile,Australia,0,0,0
6/20/2023,94,356,6,Direct,Organic Search,Summer Sale,Desktop,Germany,1,3,441
6/7/2023,95,494,6,Organic,Organic Search,Winter Campaign,Desktop,Germany,1,3,186
6/4/2023,96,430,7,Referral,Organic Search,Winter Campaign,Desktop,Germany,1,1,133
6/14/2023,97,317,7,Organic,Referral,Summer Sale,Tablet,USA,1,0,0
6/29/2023,98,370,7,Direct,Direct,,Mobile,UK,1,1,96
6/11/2023,99,330,6,Social,Direct,Winter Campaign,Desktop,UK,1,1,115
6/16/2023,100,79,5,Organic,Organic Search,,Mobile,Canada,1,0,0
6/8/2023,101,93,4,Organic,Organic Search,Spring Promo,Mobile,UK,0,2,252
6/14/2023,102,454,8,Organic,Referral,Winter Campaign,Desktop,UK,0,0,0
6/17/2023,103,404,5,Organic,Organic Search,,Tablet,India,1,2,272
6/17/2023,104,188,6,Direct,Organic Search,Winter Campaign,Tablet,USA,1,0,0
6/22/2023,105,271,6,Direct,Referral,Summer Sale,Tablet,USA,0,2,174
6/9/2023,106,169,2,Referral,Direct,Winter Campaign,Mobile,France,0,2,202
6/29/2023,107,300,7,Organic,Direct,,Tablet,UK,0,0,0
6/2/2023,108,428,6,Referral,Social Media,,Tablet,Germany,0,0,0
6/7/2023,109,237,4,Social,Referral,Spring Promo,Mobile,UK,1,0,0
6/23/2023,110,488,8,Organic,Organic Search,Winter Campaign,Mobile,India,0,2,252
6/24/2023,111,212,9,Referral,Organic Search,Spring Promo,Desktop,USA,1,0,0
6/24/2023,112,343,3,Direct,Direct,Spring Promo,Tablet,Germany,0,0,0
6/25/2023,113,264,2,Referral,Direct,Winter Campaign,Tablet,USA,0,1,85
6/12/2023,114,497,3,Organic,Organic Search,Summer Sale,Desktop,India,1,1,85
6/23/2023,115,505,2,Organic,Direct,Winter Campaign,Desktop,Australia,0,1,134
6/22/2023,116,81,10,Organic,Social Media,Spring Promo,Desktop,India,1,0,0
6/20/2023,117,118,7,Social,Social Media,Winter Campaign,Tablet,India,1,0,0
6/14/2023,118,323,1,Social,Organic Search,Summer Sale,Desktop,Australia,1,3,303
6/18/2023,119,570,2,Organic,Referral,Summer Sale,Desktop,Canada,0,2,296
6/28/2023,120,485,2,Direct,Referral,Winter Campaign,Mobile,India,0,3,255
6/29/2023,121,561,4,Social,Direct,,Mobile,France,0,2,254
6/17/2023,122,524,7,Organic,Direct,Summer Sale,Mobile,France,1,2,298
6/17/2023,123,221,1,Direct,Social Media,Winter Campaign,Mobile,Germany,1,2,240
6/16/2023,124,274,2,Referral,Referral,,Tablet,USA,0,1,127
6/27/2023,125,287,2,Organic,Organic Search,,Desktop,USA,1,0,0
6/18/2023,126,174,6,Referral,Referral,Summer Sale,Tablet,France,0,3,450
6/5/2023,127,110,5,Direct,Referral,,Desktop,Canada,1,0,0
6/29/2023,128,139,2,Direct,Organic Search,Winter Campaign,Desktop,Germany,1,3,192
6/16/2023,129,465,1,Social,Organic Search,Spring Promo,Desktop,France,1,1,117
6/14/2023,130,569,6,Direct,Referral,Spring Promo,Tablet,France,1,0,0
6/10/2023,131,540,7,Referral,Organic Search,Winter Campaign,Mobile,Australia,1,1,109
6/25/2023,132,264,8,Referral,Referral,,Desktop,France,0,0,0
6/9/2023,133,585,8,Direct,Social Media,Winter Campaign,Mobile,France,0,0,0
6/7/2023,134,127,9,Organic,Organic Search,Summer Sale,Mobile,Canada,0,3,447
6/12/2023,135,276,4,Direct,Social Media,,Desktop,India,1,2,242
6/4/2023,136,217,5,Direct,Social Media,Spring Promo,Mobile,Canada,1,0,0
6/7/2023,137,284,2,Organic,Direct,Summer Sale,Mobile,Germany,0,0,0
6/13/2023,138,519,6,Direct,Organic Search,Spring Promo,Tablet,UK,0,3,249
6/13/2023,139,298,1,Social,Social Media,,Mobile,France,1,1,140
6/10/2023,140,111,6,Direct,Direct,Winter Campaign,Tablet,India,1,0,0
6/5/2023,141,235,10,Organic,Referral,,Desktop,Canada,0,0,0
6/29/2023,142,335,7,Referral,Direct,,Desktop,France,0,3,282
6/15/2023,143,303,7,Social,Referral,Spring Promo,Desktop,Canada,1,2,212
6/25/2023,144,375,1,Organic,Social Media,,Tablet,Canada,0,0,0
6/11/2023,145,444,7,Organic,Social Media,Winter Campaign,Desktop,USA,0,0,0
6/28/2023,146,554,4,Direct,Social Media,Summer Sale,Desktop,India,0,3,192
6/13/2023,147,79,8,Direct,Social Media,Winter Campaign,Desktop,France,0,2,260
6/20/2023,148,560,5,Direct,Organic Search,,Mobile,Australia,1,3,318
6/19/2023,149,264,1,Social,Social Media,Summer Sale,Mobile,Canada,1,0,0
6/7/2023,150,443,1,Social,Organic Search,Spring Promo,Desktop,UK,0,1,146
6/24/2023,151,526,2,Direct,Social Media,Spring Promo,Mobile,France,0,2,170
6/27/2023,152,141,9,Organic,Referral,,Mobile,France,0,2,268
6/6/2023,153,290,3,Referral,Social Media,Summer Sale,Desktop,USA,1,2,170
6/25/2023,154,381,9,Referral,Direct,,Tablet,Australia,0,2,228
6/8/2023,155,169,7,Direct,Direct,Spring Promo,Tablet,Canada,1,0,0
6/13/2023,156,214,8,Social,Organic Search,,Tablet,UK,0,1,145
6/19/2023,157,143,3,Direct,Direct,Summer Sale,Tablet,France,1,1,142
6/24/2023,158,147,2,Organic,Organic Search,Summer Sale,Tablet,Australia,1,0,0
6/6/2023,159,210,2,Direct,Social Media,Spring Promo,Tablet,France,0,2,190
6/20/2023,160,353,7,Direct,Direct,Summer Sale,Mobile,India,0,0,0
6/13/2023,161,238,2,Referral,Direct,Summer Sale,Desktop,Australia,0,0,0
6/10/2023,162,247,10,Social,Referral,Summer Sale,Mobile,France,0,0,0
6/6/2023,163,522,4,Referral,Organic Search,Summer Sale,Tablet,UK,0,0,0
6/26/2023,164,541,4,Direct,Social Media,Spring Promo,Mobile,India,0,0,0
6/3/2023,165,374,1,Social,Referral,Winter Campaign,Desktop,Germany,0,0,0
6/1/2023,166,334,5,Social,Direct,Summer Sale,Mobile,USA,0,2,174
6/26/2023,167,560,6,Organic,Direct,Spring Promo,Tablet,USA,0,2,170
6/3/2023,168,249,7,Referral,Organic Search,Summer Sale,Desktop,France,0,2,112
6/24/2023,169,519,1,Referral,Direct,Winter Campaign,Mobile,USA,0,2,128
6/26/2023,170,140,2,Referral,Referral,Winter Campaign,Desktop,India,0,2,240
6/16/2023,171,245,5,Social,Organic Search,Summer Sale,Desktop,India,0,0,0
6/5/2023,172,139,2,Social,Social Media,,Tablet,Australia,0,3,270
6/26/2023,173,149,7,Social,Organic Search,Summer Sale,Mobile,India,0,1,79
6/4/2023,174,236,3,Referral,Organic Search,Spring Promo,Tablet,UK,1,3,303
6/20/2023,175,417,10,Social,Direct,Spring Promo,Desktop,USA,1,1,88
6/10/2023,176,505,1,Organic,Referral,Summer Sale,Mobile,Canada,0,1,149
6/24/2023,177,498,1,Organic,Social Media,Spring Promo,Desktop,India,1,3,252
6/29/2023,178,248,5,Direct,Referral,Spring Promo,Mobile,India,1,1,105
6/15/2023,179,171,3,Social,Referral,Summer Sale,Mobile,India,0,0,0
6/8/2023,180,473,3,Direct,Organic Search,Summer Sale,Mobile,India,1,3,333
6/23/2023,181,371,8,Organic,Social Media,Winter Campaign,Mobile,Australia,1,0,0
6/12/2023,182,360,4,Direct,Organic Search,Summer Sale,Tablet,France,0,1,119
6/2/2023,183,128,6,Social,Direct,Spring Promo,Mobile,Germany,1,1,70
6/13/2023,184,100,8,Referral,Referral,Winter Campaign,Tablet,USA,0,0,0
6/16/2023,185,265,8,Referral,Social Media,Spring Promo,Tablet,France,0,0,0
6/22/2023,186,448,9,Referral,Social Media,Spring Promo,Desktop,Canada,0,0,0
6/7/2023,187,506,5,Direct,Referral,Spring Promo,Desktop,USA,0,3,324
6/17/2023,188,577,9,Social,Direct,Spring Promo,Mobile,Australia,1,0,0
6/7/2023,189,301,2,Social,Organic Search,Spring Promo,Tablet,Germany,1,3,390
6/1/2023,190,542,1,Social,Social Media,Summer Sale,Desktop,France,1,2,254
6/9/2023,191,355,2,Referral,Organic Search,,Tablet,Australia,1,3,288
6/21/2023,192,198,2,Social,Referral,Spring Promo,Mobile,USA,1,2,192
6/13/2023,193,281,6,Social,Referral,Winter Campaign,Mobile,India,0,0,0
6/16/2023,194,525,1,Direct,Organic Search,Summer Sale,Mobile,Canada,1,2,256
6/16/2023,195,351,3,Organic,Social Media,,Tablet,India,0,2,242
6/8/2023,196,191,2,Organic,Referral,Summer Sale,Mobile,India,1,2,232
6/18/2023,197,289,4,Organic,Organic Search,Winter Campaign,Desktop,India,0,2,244
6/23/2023,198,322,10,Direct,Referral,Summer Sale,Desktop,UK,1,3,312
6/4/2023,199,142,5,Referral,Organic Search,,Tablet,France,1,0,0
6/24/2023,200,323,3,Referral,Organic Search,Summer Sale,Desktop,Canada,0,3,450
6/4/2023,201,426,1,Organic,Organic Search,Summer Sale,Tablet,France,1,3,282
6/16/2023,202,81,8,Referral,Direct,Summer Sale,Mobile,Canada,0,2,150
6/12/2023,203,152,1,Organic,Direct,Summer Sale,Desktop,France,1,2,270
6/30/2023,204,583,3,Referral,Social Media,Summer Sale,Tablet,Australia,0,1,50
6/15/2023,205,350,3,Referral,Direct,,Tablet,Australia,1,2,208
6/19/2023,206,518,3,Organic,Social Media,Winter Campaign,Mobile,France,0,1,90
6/11/2023,207,462,7,Social,Organic Search,Winter Campaign,Tablet,India,1,0,0
6/8/2023,208,73,1,Direct,Social Media,Winter Campaign,Mobile,USA,0,3,369
6/29/2023,209,527,1,Social,Referral,Summer Sale,Mobile,Canada,1,3,228
6/4/2023,210,378,3,Direct,Direct,Winter Campaign,Mobile,Canada,1,0,0
6/10/2023,211,298,5,Organic,Direct,Spring Promo,Tablet,Canada,1,0,0
6/29/2023,212,432,8,Referral,Social Media,Spring Promo,Desktop,USA,1,0,0
6/8/2023,213,117,9,Organic,Direct,,Tablet,India,1,3,159
6/24/2023,214,274,8,Direct,Direct,Winter Campaign,Tablet,India,1,2,150
6/12/2023,215,285,8,Direct,Organic Search,,Tablet,UK,0,3,408
6/13/2023,216,279,7,Social,Referral,Spring Promo,Tablet,Germany,0,1,85
6/30/2023,217,470,6,Social,Referral,,Desktop,France,0,2,280
6/30/2023,218,175,5,Organic,Organic Search,Winter Campaign,Tablet,USA,1,3,207
6/7/2023,219,452,2,Social,Direct,,Mobile,France,0,0,0
6/11/2023,220,91,8,Organic,Referral,,Desktop,UK,1,2,134
6/10/2023,221,76,6,Direct,Organic Search,Summer Sale,Desktop,India,0,3,285
6/11/2023,222,288,3,Direct,Direct,Spring Promo,Mobile,India,0,3,177
6/8/2023,223,554,1,Direct,Social Media,Spring Promo,Tablet,Canada,1,1,54
6/13/2023,224,80,10,Direct,Social Media,Winter Campaign,Tablet,France,1,3,387
6/18/2023,225,260,1,Direct,Referral,Summer Sale,Mobile,USA,0,3,342
6/30/2023,226,468,4,Referral,Direct,Summer Sale,Tablet,USA,1,2,198
6/6/2023,227,355,8,Social,Direct,,Mobile,Germany,0,0,0
6/12/2023,228,182,3,Direct,Referral,Spring Promo,Tablet,Australia,1,0,0
6/4/2023,229,590,7,Organic,Organic Search,Spring Promo,Mobile,France,1,3,393
6/10/2023,230,129,4,Organic,Organic Search,Summer Sale,Desktop,Canada,0,2,168
6/10/2023,231,173,7,Direct,Social Media,Spring Promo,Desktop,Australia,1,1,133
6/25/2023,232,493,2,Direct,Referral,Summer Sale,Desktop,France,0,1,122
6/30/2023,233,463,6,Referral,Referral,Summer Sale,Mobile,UK,0,1,90
6/28/2023,234,492,2,Organic,Organic Search,Summer Sale,Mobile,UK,0,2,144
6/22/2023,235,540,3,Direct,Organic Search,Spring Promo,Tablet,Australia,1,2,200
6/4/2023,236,491,5,Direct,Direct,Spring Promo,Mobile,Australia,1,1,59
6/17/2023,237,341,5,Organic,Referral,Spring Promo,Desktop,Germany,0,1,114
6/26/2023,238,259,8,Social,Social Media,Spring Promo,Desktop,USA,0,3,333
6/5/2023,239,350,1,Social,Referral,Summer Sale,Tablet,France,0,0,0
6/15/2023,240,211,9,Referral,Direct,Winter Campaign,Desktop,Germany,0,3,276
6/23/2023,241,298,4,Referral,Direct,Winter Campaign,Mobile,UK,1,1,104
6/22/2023,242,369,7,Organic,Referral,Winter Campaign,Mobile,France,1,2,130
6/9/2023,243,428,7,Organic,Referral,Summer Sale,Tablet,Australia,1,3,219
6/30/2023,244,502,4,Social,Referral,Summer Sale,Desktop,UK,0,0,0
6/15/2023,245,434,2,Social,Organic Search,Winter Campaign,Mobile,Australia,0,0,0
6/26/2023,246,246,4,Direct,Social Media,,Desktop,UK,1,0,0
6/30/2023,247,243,1,Organic,Referral,Winter Campaign,Desktop,Germany,0,1,149
6/11/2023,248,505,1,Direct,Organic Search,,Tablet,Australia,0,3,354
6/1/2023,249,312,7,Organic,Referral,Winter Campaign,Mobile,France,0,0,0
6/26/2023,250,327,10,Direct,Referral,Spring Promo,Mobile,France,0,2,286
6/8/2023,251,516,9,Social,Organic Search,Spring Promo,Desktop,USA,0,3,228
6/17/2023,252,451,1,Social,Social Media,Summer Sale,Tablet,USA,0,2,236
6/24/2023,253,399,7,Direct,Referral,Winter Campaign,Tablet,Germany,0,0,0
6/10/2023,254,180,6,Referral,Social Media,Spring Promo,Tablet,Canada,0,3,372
6/3/2023,255,379,7,Organic,Social Media,Spring Promo,Mobile,France,1,2,176
6/21/2023,256,214,4,Organic,Social Media,Summer Sale,Mobile,USA,0,1,89
6/21/2023,257,371,5,Organic,Direct,Winter Campaign,Mobile,Canada,0,3,156
6/28/2023,258,477,10,Social,Direct,,Mobile,Australia,0,3,213
6/1/2023,259,74,6,Referral,Referral,Winter Campaign,Tablet,France,1,3,345
6/16/2023,260,257,10,Referral,Referral,Summer Sale,Tablet,USA,1,3,369
6/3/2023,261,276,6,Direct,Direct,Winter Campaign,Desktop,Australia,0,1,133
6/8/2023,262,251,9,Organic,Organic Search,Winter Campaign,Mobile,Australia,1,1,145
6/12/2023,263,96,9,Direct,Referral,Summer Sale,Tablet,USA,0,1,100
6/1/2023,264,75,7,Referral,Referral,Summer Sale,Tablet,UK,0,0,0
6/2/2023,265,522,8,Social,Social Media,Spring Promo,Desktop,UK,0,0,0
6/10/2023,266,281,3,Social,Organic Search,,Desktop,Canada,1,1,116
6/15/2023,267,482,3,Social,Direct,Summer Sale,Mobile,France,1,3,375
6/5/2023,268,252,4,Direct,Social Media,Winter Campaign,Desktop,USA,1,1,78
6/29/2023,269,532,4,Direct,Social Media,Spring Promo,Mobile,USA,0,0,0
6/5/2023,270,545,10,Social,Referral,,Mobile,France,0,2,156
6/15/2023,271,476,2,Social,Direct,Winter Campaign,Tablet,France,0,3,252
6/13/2023,272,314,8,Social,Social Media,Winter Campaign,Tablet,USA,1,0,0
6/22/2023,273,320,7,Direct,Social Media,Summer Sale,Mobile,France,0,0,0
6/29/2023,274,60,3,Referral,Referral,Spring Promo,Tablet,UK,0,0,0
6/10/2023,275,576,9,Organic,Social Media,Summer Sale,Desktop,India,1,2,106
6/3/2023,276,521,4,Direct,Referral,,Desktop,Germany,0,2,204
6/16/2023,277,456,9,Direct,Referral,Summer Sale,Desktop,Canada,0,2,252
6/30/2023,278,202,5,Direct,Direct,Winter Campaign,Desktop,India,1,3,399
6/5/2023,279,60,4,Direct,Organic Search,Winter Campaign,Tablet,Canada,1,2,228
6/9/2023,280,132,10,Referral,Direct,Spring Promo,Desktop,Germany,0,0,0
6/17/2023,281,389,1,Social,Referral,,Mobile,France,1,0,0
6/22/2023,282,548,3,Social,Organic Search,Summer Sale,Mobile,USA,0,1,128
6/21/2023,283,225,5,Referral,Direct,Spring Promo,Tablet,India,0,2,240
6/1/2023,284,397,9,Organic,Social Media,Summer Sale,Mobile,Australia,0,1,106
6/25/2023,285,189,7,Social,Organic Search,Spring Promo,Mobile,India,0,3,423
6/29/2023,286,292,7,Direct,Referral,Spring Promo,Desktop,Australia,0,0,0
6/14/2023,287,63,3,Social,Direct,,Desktop,France,0,3,387
6/2/2023,288,332,3,Direct,Organic Search,Summer Sale,Mobile,Germany,0,3,252
6/28/2023,289,175,10,Direct,Social Media,Summer Sale,Desktop,UK,0,0,0
6/5/2023,290,240,9,Referral,Referral,Summer Sale,Mobile,India,0,2,118
6/13/2023,291,118,1,Referral,Organic Search,Winter Campaign,Mobile,Canada,1,3,162
6/2/2023,292,304,7,Direct,Organic Search,Winter Campaign,Desktop,India,1,1,82
6/13/2023,293,172,9,Social,Organic Search,,Mobile,India,1,3,426
6/28/2023,294,388,3,Organic,Direct,Spring Promo,Desktop,France,1,0,0
6/22/2023,295,581,6,Social,Organic Search,,Mobile,Germany,1,2,210
6/26/2023,296,420,4,Direct,Direct,,Mobile,UK,1,1,134
6/18/2023,297,61,5,Direct,Social Media,Summer Sale,Desktop,Germany,0,1,87
6/9/2023,298,452,8,Referral,Direct,Summer Sale,Mobile,Canada,1,1,90
6/20/2023,299,455,1,Social,Social Media,Winter Campaign,Mobile,France,1,3,360
6/16/2023,300,64,5,Organic,Direct,,Mobile,Canada,1,1,116
6/3/2023,301,168,10,Social,Referral,,Tablet,Germany,1,3,297
6/11/2023,302,495,5,Social,Social Media,,Desktop,Canada,0,1,76
6/21/2023,303,496,3,Organic,Organic Search,Winter Campaign,Mobile,France,1,0,0
6/10/2023,304,210,4,Social,Referral,Winter Campaign,Desktop,India,0,0,0
6/12/2023,305,524,1,Referral,Direct,Spring Promo,Mobile,Germany,0,1,87
6/18/2023,306,114,6,Direct,Referral,Summer Sale,Mobile,USA,1,0,0
6/22/2023,307,557,9,Social,Organic Search,Winter Campaign,Tablet,Australia,1,1,77
6/9/2023,308,201,7,Referral,Social Media,Spring Promo,Mobile,USA,0,3,198
6/3/2023,309,236,7,Organic,Organic Search,Spring Promo,Tablet,India,0,2,126
6/10/2023,310,588,6,Organic,Direct,Spring Promo,Desktop,Germany,0,2,256
6/5/2023,311,411,10,Social,Organic Search,,Tablet,France,1,1,66
6/12/2023,312,337,8,Organic,Social Media,Spring Promo,Mobile,Australia,1,2,274
6/19/2023,313,266,9,Direct,Referral,Spring Promo,Tablet,Germany,1,3,333
6/3/2023,314,63,10,Social,Organic Search,,Tablet,Germany,1,0,0
6/24/2023,315,134,2,Social,Organic Search,,Desktop,UK,1,1,111
6/3/2023,316,555,7,Organic,Direct,,Mobile,France,0,2,196
6/19/2023,317,69,7,Referral,Organic Search,Winter Campaign,Desktop,UK,0,2,224
6/11/2023,318,166,1,Referral,Referral,Summer Sale,Desktop,Australia,1,3,309
6/4/2023,319,186,10,Referral,Referral,,Tablet,Canada,0,0,0
6/15/2023,320,453,7,Direct,Direct,Winter Campaign,Mobile,UK,1,2,118
6/2/2023,321,255,3,Social,Direct,Summer Sale,Mobile,Australia,0,3,279
6/15/2023,322,486,4,Social,Social Media,Winter Campaign,Mobile,USA,0,3,309
6/9/2023,323,536,8,Social,Referral,Spring Promo,Desktop,UK,0,3,450
6/12/2023,324,511,7,Referral,Referral,Spring Promo,Mobile,Canada,0,2,276
6/28/2023,325,497,7,Referral,Referral,Winter Campaign,Tablet,France,1,3,402
6/28/2023,326,136,9,Social,Social Media,,Mobile,Germany,0,2,180
6/2/2023,327,308,3,Referral,Direct,,Mobile,Germany,0,3,435
6/6/2023,328,343,10,Social,Organic Search,,Tablet,Germany,0,0,0
6/18/2023,329,357,7,Organic,Referral,Spring Promo,Desktop,Germany,0,1,100
6/24/2023,330,151,2,Direct,Social Media,,Mobile,UK,1,1,84
6/18/2023,331,456,2,Referral,Direct,Winter Campaign,Mobile,USA,0,3,156
6/6/2023,332,511,5,Organic,Direct,Winter Campaign,Mobile,Canada,1,1,61
6/27/2023,333,303,9,Organic,Social Media,,Mobile,India,1,2,222
6/26/2023,334,247,1,Social,Social Media,Summer Sale,Mobile,Australia,0,1,73
